,시도,구분,제목,장소,기간,가격,문의처
597,대구광역시,국악,"대구문화예술회관 판소리 완창시리즈, 소리 최경희의 정광수제 수궁가",대구문화예술회관,2022-11-19~2022-11-19,유료,"대구문화예술회관 053-606-6135, 6133"
599,대구광역시,음악/콘서트,제2회 르 송 앙상블 정기연주회,대구콘서트하우스 챔버홀,2022-11-19~2022-11-19,유료,프란츠클래식 0507-1338-2389
631,대구광역시,뮤지컬/오페라,앤 ANNE [대구],어울아트센터,2022-11-19~2022-11-19,유료,행복북구문화재단 053-320-5120
635,대구광역시,기타,The Magic 팬텀 & 퀸 [대구],달서아트센터,2022-11-19~2022-11-19,유료,달서아트센터 053-584-8719~20
652,대구광역시,연극,행오버 [대구],송죽씨어터,2022-10-20~2022-11-20,유료,송죽씨어터 053-252-5733
669,대구광역시,연극,우리들의 히어로 [대구],봉산문화회관,2022-11-17~2022-11-20,유료,봉산문화회관 053-661-3521 / 극단미르 010-5820-7529
679,대구광역시,무용/발레,"제4회 실험극 페스티벌, 작작zoom하자: 춤으로 만나는 천국의 나무",골목실험극장,2022-11-18~2022-11-20,유료,010-4072-2378
691,대구광역시,뮤지컬/오페라,바다탐험대 옥토넛 시즌2: 대산호초 보호작전 [대구(앵콜)],대구보건대학교 인당아트홀,2022-11-19~2022-11-20,유료,전공이엔티 1522-2061
692,대구광역시,뮤지컬/오페라,겨울왕국: 겨울이야기 [대구],대백프라자 프라임홀,2022-11-19~2022-11-20,유료,조이컬쳐 053-420-8088
721,대구광역시,음악/콘서트,제19회 대구베누스토오케스트라 정기연주회,대구콘서트하우스 그랜드홀,2022-11-20~2022-11-20,유료,010-2584-2712
751,대구광역시,음악/콘서트,"대구아티스트위크 시즌 4, 관악: 클래식 루키즈 [대구]",대구콘서트하우스 챔버홀,2022-11-23~2022-11-23,유료,대구콘서트하우스 053-250-1400
770,대구광역시,음악/콘서트,"제16회 영남필하모니오케스트라 정기연주회, 한국적 창작 작품의 향연",대구콘서트하우스 그랜드홀,2022-11-24~2022-11-24,유료,영남필하모니오케스트라 사무국 053-217-5592
774,대구광역시,음악/콘서트,"대구아티스트위크 시즌 4, 관악: 플루티스트 김영주 & 클라리네티스트 박에스라 듀오 리사이틀",대구콘서트하우스 챔버홀,2022-11-24~2022-11-24,유료,대구콘서트하우스 053-250-1400
810,대구광역시,음악/콘서트,"대구아티스트위크 시즌 4, 관악: 바로크: 통주저음의 시대 [대구]",대구콘서트하우스 챔버홀,2022-11-25~2022-11-25,유료,대구콘서트하우스 053-250-1400
830,대구광역시,연극,"작은 무대에 부는 바람, 먼데서 오는 여자 [대구]",한울림 소극장,2022-11-25~2022-11-26,유료,한울림소극장 053-246-2925
831,대구광역시,뮤지컬/오페라,LAST MOON [대구],달서아트센터,2022-11-25~2022-11-26,유료,브리즈 053-584-9273
840,대구광역시,음악/콘서트,일리야 라쉬코프스키 라흐마니노프 3개의 피아노협주곡 [대구],대구콘서트하우스 그랜드홀,2022-11-26~2022-11-26,유료,"두남재엔터테인먼트 02-6292-9368, 9370"
860,대구광역시,음악/콘서트,강동석 & 친구들과 떠나는 실내악 여행 [대구],대덕문화전당 드림홀,2022-11-26~2022-11-26,유료,대덕문화전당 053-664-3118
883,대구광역시,연극,시골쥐와 서울쥐 [대구],대백프라자 5층 레오문화홀,2022-10-15~2022-11-27,유료,대백레오문화홀 053-420-8050
916,대구광역시,뮤지컬/오페라,캐리TV 러브콘서트: KPOP [대구],대구 엑스코(EXCO),2022-11-26~2022-11-27,유료,동그라미그리기 1577-4868
922,대구광역시,뮤지컬/오페라,호두까기인형 [대구],신세계 문화홀 대구점,2022-11-26~2022-11-27,유료,좋은사람들 070-4045-2302
1106,대구광역시,연극,오백에 삼십 [대구],아트플러스씨어터,2022-11-03~2023-01-01,유료,010-6460-7679
1108,대구광역시,연극,사랑일까? [대구],여우별아트홀,2022-11-04~2023-01-01,유료,여우별아트홀 010-2875-1931
1113,대구광역시,연극,헬로우미스미스터［대구］,문화예술전용극장 CT,2022-11-22~2023-01-01,유료,비컨크리에이티브 053-252-5733
1117,대구광역시,연극,옥탑방고양이 [대구],송죽씨어터,2022-11-23~2023-01-08,유료,비컨크리에이티브 053-252-5733
