시설명,시도,시군구,시설유형(대),시설유형(중),시설유형(소),연락처
마더노인요양센터,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-473-6533
강동힐링요양원,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-485-4701
성암장수마을,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-489-2081
벨포레스트,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,010-2043-3113
그랜드너싱홈,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-472-0998
서울케어링하우스,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-6428-9088
대한연세요양원,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-426-1000
강동노인복지관 치매요양원,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-474-6900
늘편한요양원,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-474-3033
강동천호실버센터1호,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-483-0707
정원실버요양원 2호점,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-470-1723
강동천호실버센터2호,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-483-0707
흰돌장기요양센터3호점,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-481-6562
늘편한요양센터2호,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-474-3135
흰돌장기요양센터2호점,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-481-6562
(A+)강동포도나무요양원 1호점,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-427-6888
늘편한요양센터,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02)475-3035
은혜요양원,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-481-3038
(A+)강동포도나무요양원 2호점,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-427-6888
정원실버요양원,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-470-1723
흰돌장기요양센터1호점,서울특별시,강동구,노인,노인의료복지시설,노인요양공동생활가정,02-481-6562
서울특별시립강동노인종합복지관,서울특별시,강동구,노인,노인여가복지시설,노인복지관,02-442-1026
강릉노인종합복지관,서울특별시,강동구,노인,노인여가복지시설,노인복지관,02-442-1026
성가정노인종합복지관,서울특별시,강동구,노인,노인여가복지시설,노인복지관,02-481-2217
강동구립 해공노인복지관,서울특별시,강동구,노인,노인여가복지시설,노인복지관,02-478-0601
다사랑방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-477-0355
청연재가노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-476-0017
강동어르신돌봄지원센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-429-1082
(주)롱라이프그린케어 선사노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-441-5482
죽헌 미르데이센터(강동2호),서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-489-6656
아들과딸 강동천호 주간보호센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-476-7080
성내주간보호센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-478-2555
해돋이재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-6368-0334
강동구립 해공데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-478-0601
강동희망요양센터2호점,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-6953-6385
(한사랑) 재가방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-486-7890
"""반석""데이케어센터",서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-477-4268
효재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-430-4805
강동실버사랑,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-318-8008
(주)KB골든라이프케어 강동케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-2135-5465
굿하트강동 재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-442-7090
행복한세상복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-6405-3452
강동믿음재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-473-8060
좋은아침재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-442-5670
죽헌 미르데이센터(강동1호),서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-475-8808
노인돌봄센터 엄마를부탁해,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-484-8890
천호재가노인지원센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-482-3810
시립강동노인복지관 데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-426-2048
둔촌데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-479-1890
강동 늘푸른 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-427-0037
재단법인 서울특별시 사회서비스원 강동종합재가센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-483-7111
둥지 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-429-8581
이레 재가방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-470-3004
강일데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-6423-0016
가온데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-489-0993
사랑배달 재가노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-488-4858
재가노인지원센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-489-2053
''(A+)''부모사랑복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-426-0091
1288참사랑실버복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-474-1288
행복 데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-441-5565
늘편한 재가노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-474-3033
은혜재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-426-9555
리조이스재가방문센타,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-2135-4283
천호동성당데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-471-9973
효순데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-478-9988
다올림 노인복지재가센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-429-8250
샬롬케어 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-6369-1254
강동맘편한 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-426-1434
효심재가요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-484-3340
(주)롱라이프엘더가든 강동노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-441-6512
더사랑방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-415-1503
강동 어르신 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-485-1006
9학년데이케어센터(재활),서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-6956-9897
인애재가노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-488-9490
성내데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-487-2592
강동시니어클럽,서울특별시,강동구,노인,노인일자리지원기관,노인일자리지원기관,02-6713-3779
가족사랑요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-999-8334
푸른요양원1호점,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-999-2234
강북실버종합복지센터,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-984-0300
강북노인전문요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-900-8957
e-포근한 요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-989-9987
봄날북한산요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-991-5111
푸른요양원2호점,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-999-2234
길재활요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-992-6993
북부성모요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-992-6629
사랑나눔요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-999-1366
참사랑노인요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-981-1212
가온요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-907-1117
참사랑노인요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-981-1212
강북효심요양원1,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-987-8879
거목실버홈,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-904-7782
뜰안채실버요양공동생활가정,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-3491-1849
가인요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-990-5556
강북유진복지센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-982-8878
민영요양센터2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-987-7600
행복한노인요양원1,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-902-6400
효노인복지센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-946-1313
거목노인요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-904-7782
강북효심요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-987-8879
행복한노인요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-902-6400
강북하루정요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-907-1235
거목요양홈,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-904-7782
가족사랑노인요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-994-8655
햇살요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-900-3878
민영요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-987-7600
가온요양원1,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-6959-8078
참햇살요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-900-3878
강북중앙요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-997-1388
행복한노인요양원3,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-902-6400
강북노인종합복지관,서울특별시,강북구,노인,노인여가복지시설,노인복지관,02-999-9179
강북50플러스센터,서울특별시,강북구,노인,노인여가복지시설,노인교실,010-7937-7137
정겨운재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-980-8648
찾아가는 효심노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-985-8877
"""강북햇살데이케어센터""",서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-994-7247
우리재가방문요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-980-8331
늘사랑 요양복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,070-8796-7222
수유데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-945-8846
미아실버데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-987-9955
실버벨재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-6397-0929
큰사랑재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-941-5006
슬기재활재가간호센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-6449-9355
가족사랑방문요양복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-903-4677
강북재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-989-8992
가온요양원1주야간,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-6959-8078
강북중앙복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-997-1388
나눔플러스재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-989-0225
사회적협동조합강북나눔돌봄센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-984-1416
(A+)사랑나무방문요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-991-2576
예닮데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-998-2866
고운마음재가요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-946-1008
거목노인요양원,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-904-7782
강북재가노인지원센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-945-9988
삼동재가방문요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-987-1064
시립강북노인종합복지관병설 강북노인주간보호센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-992-6784
효엔재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-988-3288
효드림노인재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-982-1117
두드림노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-994-1008
'힐링'재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-999-0110
유케어강북센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-6094-0808
강북희망데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-995-6090
(주)휴복지법인 주간보호센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-908-9865
사랑나눔데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-999-1366
사회복지법인 운가자비원 운가데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-903-1720
강북실버데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-986-1217
비타민재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-982-5525
(주)실버웨이복지법인 강북노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-1600-2873
참사랑노인요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-981-1212
강북THE행복한데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-989-7421
(사)우이데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-998-6000
강북해오름데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-992-0077
번동힐데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-980-3891
강북노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-981-5004
강북 효사랑 재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-998-8891
이레재가방문센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-913-1842
강북하루정요양원,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-907-1236
조은노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-981-2997
대은가정봉사원파견센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-985-5534
찾아가는 행복노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-999-1002
가족사랑노인요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-994-8655
번동데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-980-3004
행복한재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-6465-7333
드림재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-975-7068
도담재가요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-982-1005
더 나눔재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-6369-6255
서진재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-906-5588
효노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-946-1313
수유실버데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-993-4020
닮터데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-988-0997
가족같은재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-984-0101
부모사랑방문복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-900-3004
번동데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-980-3004
기억튼튼재활전문데이케어센터(강북점),서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-985-1311
갓사랑노인재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-991-5004
쟌쥬강의 집,서울특별시,강서구,노인,노인주거복지시설,양로시설,02-2602-2472
그레이스힐,서울특별시,강서구,노인,노인주거복지시설,노인복지주택,02-3660-1510
서울시니어스타워(주)강서본부,서울특별시,강서구,노인,노인주거복지시설,노인복지주택,02-2659-1100
서울시니어스타워(주)가양본부,서울특별시,강서구,노인,노인주거복지시설,노인복지주택,02-3660-7700
시니어스 너싱홈,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-3660-7630
봄날서울요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2661-8600
수명산요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2661-7300
늘푸른요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2667-5500
선화요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2655-1888
마곡수요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-6952-0405
봄날강서요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2661-6600
호선실버센터,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2662-6712
참사랑실버케어,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2065-1295
봄날실버센터,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2665-8057
경희요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2667-8700
한마음노인전문요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2607-7315
나오미요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2088-5712
요안나요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2694-6699
행복마지요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2676-3275
한가람요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2645-0558
강서사랑요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2135-3710
백영실버스테이,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2663-6090
햇살요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-3665-7772
행복한 집,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2662-1815
한솔요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-6952-0405
천사노인요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2602-2443
강서미소요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2665-7800
푸른요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,070-4550-3308
푸른솔요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,070-4550-3306
맑은요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-3664-2012
강서실버요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2667-8890
케어콜요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2692-8888
가족사랑노인요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2608-6388
성심노인요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-3663-2202
밝은햇살요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2608-0410
온누리요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2692-8888
솔요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2645-4454
새마음요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-3662-5978
다복요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2605-5976
희망요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-3663-5978
강서구립화곡노인복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2605-6900
서울시립강서노인종합복지관,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-3664-0322
강서구립봉제산노인복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2605-1553
독거노인원스탑지원센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-3664-0322
강서구립연지노인복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2605-7501
강서구립곰달래어르신복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2699-8264
강서50플러스센터,서울특별시,강서구,노인,노인여가복지시설,노인교실,02-6295-5069
