시도,시군구,수행기관명,주소,기관 대표전화,특화서비스
서울특별시,용산구,시립용산노인종합복지관,서울특별시 용산구 독서당로11길 16 1층 사무실,02-794-6100,해당없음
서울특별시,용산구,갈월종합사회복지관,서울특별시 용산구 두텁바위로 25(갈월동),02-752-7887,해당없음
서울특별시,용산구,효창종합사회복지관,서울특별시 용산구 효창원로 146-12(효창동)효창종합사회복지관 2층 사무실,02-716-0600,해당없음
서울특별시,용산구,청파노인복지관,서울특별시 용산구 청파로83길 26 2층 복지팀,02-701-6012,해당없음
서울특별시,용산구,용산재가노인지원센터,"서울 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋) 102동 2611호",02-792-7882,해당없음
서울특별시,은평구,은평어르신돌봄통합지원센터,"서울특별시 은평구 연서로13길 29-7, (구산동), 3층 은평어르신돌봄통합지원센터",02-389-9712,해당없음
서울특별시,은평구,서울시립은평노인종합복지관,서울특별시 은평구 연서로 415,02-385-1351,해당
서울특별시,종로구,구립종로노인종합복지관,서울특별시 종로구 율곡로19길 17-8,02-742-9500,해당없음
서울특별시,중구,약수노인종합복지관,서울특별시 중구 다산로6길 11,02-2234-3515,해당
서울특별시,중구,유락종합사회복지관,"서울특별시 중구 퇴계로 460, 유락종합사회복지관 7층 사무실",02-2235-4000,해당없음
서울특별시,중구,중림종합사회복지관,서울특별시 중구 서소문로6길 16,070-5089-9233,해당없음
서울특별시,중랑구,신내노인종합복지관,서울특별시 중랑구 신내로15길 175,02-3421-4800,해당
서울특별시,중랑구,중랑노인종합복지관,서울특별시 중랑구 겸재로9길 45,02-493-9966,해당없음
서울특별시,중랑구,면목종합사회복지관,서울특별시 중랑구 용마산로 228,02-436-0500,해당없음
서울특별시,중랑구,여명재가노인지원서비스센터,서울특별시 중랑구 동일로160길 49 (지층),02-976-2808,해당없음
부산광역시,강서구,강서노인종합복지관,부산광역시 강서구 체육공원로 39 강서노인종합복지관,051-972-4851,해당
부산광역시,강서구,명지노인종합복지관,"부산 강서구 명지국제13로 33 (명지동, 명지노인종합복지관)",051-712-7000,해당
부산광역시,금정구,금정구노인복지관,부산광역시 금정구 청룡예전로 110(청룡동),051-792-7200,해당없음
부산광역시,금정구,남광종합사회복지관,부산광역시 금정구 중앙대로 2349번길 3,051-508-1998,해당
부산광역시,금정구,금정구종합사회복지관,부산광역시 금정구 반송로 490번길 47,051-532-0115,해당
부산광역시,기장군,기장군노인복지관(본관),부산광역시 기장군 기장읍 차성동로88-6 4층 (무료급식소),051-792-4760,해당없음
부산광역시,기장군,기장군노인복지관(분관),부산광역시 기장군 일광면 이천8길 13,051-792-4870,해당없음
부산광역시,남구,남구노인복지관,부산광역시 남구 못골로 97-10(대연동),051-628-1291,해당
부산광역시,남구,용호종합사회복지관 부설 용호재가노인지원서비스센터,부산광역시 남구 이기대공원로 7(용호3동),051-628-6737,해당없음
부산광역시,남구,청전재가노인지원서비스센터,부산광역시 남구 유엔로 124 2층,051-622-1226,해당없음
부산광역시,남구,남구종합사회복지관,"부산 남구 동제당로 258 (우암동, 남구종합복지관)",051-647-3655,해당없음
부산광역시,동구,동구노인복지관,부산광역시 동구 홍곡중로 5번길 24(수정동),051-714-2945,해당없음
부산광역시,동구,부산동구자성대노인복지관,"부산광역시 동구 자성로 140번길 32, 4층 노인맞춤돌봄서비스 사무실",051-632-7597,해당
부산광역시,동래구,동래구노인복지관,부산광역시 동래구 명륜로 207번길 18,051-710-6252,해당
부산광역시,동래구,사직노인복지센터,부산광역시 동래구 사직북로63번길 20-7 본관3층,051-506-3416,해당없음
부산광역시,동래구,효림원재가노인지원서비스센터,"부산광역시 동래구 반송로273번길 7, 303호",051-523-1322,해당없음
부산광역시,부산진구,부산진구노인복지관,부산광역시 부산진구 전포대로300번길 6,051-808-8090,해당
부산광역시,부산진구,다사랑복합문화예술회관,부산광역시 부산진구 대학로 60,051-898-1746,해당
부산광역시,북구,장선종합복지공동체(실버벨노인종합복지관),부산광역시 북구 시랑로114번길 45(구포동),051-337-5959,해당없음
부산광역시,북구,화명종합사회복지관,부산광역시 북구 금곡대로199번길 21(화명동),051-338-2233,해당
부산광역시,북구,청록재가노인지원서비스센터,"부산광역시 북구 만덕대로155번길 86-9 (덕천동, 덕천2지구도개공아파트)",051-337-0161,해당없음
부산광역시,북구,부산삼동재가노인지원서비스센터,부산 북구 금곡대로324번길 11 (화명동),051-343-5685,해당없음
부산광역시,사상구,모라종합사회복지관,부산광역시 사상구 모라로 110번길 129,051-304-9876,해당
부산광역시,사상구,사상구종합사회복지관,부산광역시 사상구 백양대로 527 2층 맞춤돌봄서비스,051-710-2232,해당없음
부산광역시,사상구,사상구노인복지관,"부산광역시 사상구 가야대로196번길 51, 5층",051-325-7555,해당없음
부산광역시,사하구,인창노인복지센터,부산광역시 사하구 낙동대로 128 인창노인복지센터 5층,051-204-3473,해당없음
부산광역시,사하구,사하중앙노인복지센터,"부산광역시 사하구 승학로 123,(4층)",051-206-9106,해당없음
부산광역시,사하구,신장림사랑채노인복지관,부산광역시 사하구 다대로300번길 9,051-266-8515,해당
부산광역시,사하구,몰운대종합사회복지관,부산광역시 사하구 다대낙조2길 17,051-264-9033,해당없음
부산광역시,사하구,구평종합사회복지관,"부산 사하구 을숙도대로 744 (구평동, 사회복지회관)",051-263-3045,해당없음
부산광역시,서구,서구종합사회복지관,"부산광역시 서구 망양로193번길 104, 서구종합사회복지관 1층",051-253-1922,해당
부산광역시,서구,서구노인복지관,"부산광역시 서구 장군산로46번길 21 (암남동, 서구노인복지관)",051-244-3541,해당없음
부산광역시,수영구,수영구노인복지관,"부산광역시 수영구 황령대로489번길 83, 수영구노인복지관",051-759-6070,해당
부산광역시,수영구,수영재가노인지원서비스센터,"부산광역시 수영구 연수로 375, 4층",051-912-7275,해당없음
부산광역시,수영구,광안노인복지관,부산광역시 수영구 장대골로 75-8,051-715-6099,해당없음
부산광역시,연제구,연제구거제종합사회복지관,부산광역시 연제구 아시아드대로 46번길 45(3층),051-507-8151,해당없음
부산광역시,연제구,연제지역자활센터,부산 연제구 봉수로 17 (연산동) 연산종합사회복지관 3층 연제지역자활센터,051-853-8279,해당없음
부산광역시,연제구,연제구노인복지관,부산광역시 연제구 고분로 188,051-863-9988,해당
부산광역시,영도구,영도구노인복지관,부산광역시 영도구 절영로29번길 14,051-417-6344,해당
부산광역시,영도구,와치종합사회복지관,부산광역시 영도구 함지로 79번길 76,051-403-4200,해당
부산광역시,중구,중구노인복지관,부산광역시 중구 책방골목길3-1,051-241-2591,해당
부산광역시,해운대구,어진샘노인종합복지관,"부산광역시 해운대구 재반로12번길 16, 어진샘노인종합복지관",051-784-8008,해당
부산광역시,해운대구,장산노인복지관,부산광역시 해운대구 좌동로 126,051-704-9141,해당없음
부산광역시,해운대구,운봉종합사회복지관,부산광역시 해운대구 신반송로 200,051-543-2431,해당없음
부산광역시,해운대구,대성재가복지센터,"부산 해운대구 선수촌로 181-2 (반여동, 삼흥빌딩) 대성재가복지센터 2층",051-524-0063,해당없음
대구광역시,남구,햇빛재가노인돌봄센터,대구광역시 남구 봉덕로 41 동영빌딩 8층,053-474-9748,해당
대구광역시,남구,참좋은재가노인돌봄센터,대구광역시 남구 중앙대로 132 3층(봉덕동),053-474-1253,해당없음
대구광역시,남구,대덕노인종합복지관,대구광역시 남구 큰골길 137,053-621-9524,해당없음
대구광역시,달서구,달서구노인종합복지관,대구광역시 달서구 학산로 140(노인맞춤돌봄지원센터),053-644-8312,해당
대구광역시,달서구,성서재가노인돌봄센터,대구광역시 달서구 장기로 253-1 프라임 3층,053-716-6126,해당없음
대구광역시,달서구,월성재가노인돌봄센터,대구광역시 달서구 월성로20 건도파라다이스빌딩 401호,053-636-7300,해당없음
대구광역시,달서구,굿실버재가노인돌봄센터,대구광역시 달서구 상인로 84 4층,053-652-0272,해당없음
대구광역시,달서구,대구YWCA재가노인돌봄센터,대구광역시 달서구 성서로 377 5층,053-587-1968,해당
대구광역시,달서구,대덕재가노인돌봄센터,대구광역시 달서구 한실로 89 4층,053-625-9523,해당없음
대구광역시,달서구,대구재가노인돌봄센터,"대구광역시 달서구 월배로 385, 2층",053-295-6070,해당
대구광역시,달성군,효경재가노인돌봄센터,"대구광역시 달성군 현풍읍 현풍중앙로 87-2, 1층",053-617-0112,해당
대구광역시,달성군,수경재가노인돌봄센터,"대구광역시 달성군 화원읍 비슬로 2490,4층",053-634-2007,해당없음
대구광역시,달성군,에덴재가노인돌봄센터,"대구광역시 달성군 옥포읍 비슬로 1904,2층",053-615-1133,해당없음
대구광역시,달성군,늘푸른재가노인돌봄센터,대구광역시 달성군 가창면 가창로 1097-4,053-637-9988,해당없음
대구광역시,동구,감천재가노인돌봄센터,대구광역시 동구 갓바위로 75,053-986-7708,해당없음
대구광역시,동구,진명재가노인돌봄센터,대구광역시 동구 아양로 239 (신암동) 진명시니어카운티 5층,053-954-1006,해당
대구광역시,동구,효청원재가노인돌봄센터,대구 동구 효목로 49 (효목동) 3층,053-751-1152,해당없음
대구광역시,동구,신안재가노인돌봄센터,"대구광역시 동구 부동길30, 3층",053-290-9988,해당없음
대구광역시,동구,동구재가노인돌봄센터,대구광역시 동구 경안로 109길 22-7(동호동),053-964-3111,해당없음
대구광역시,동구,성덕재가노인돌봄센터,대구광역시 동구 반야월로 100. 3층 성덕재가노인돌봄센터,053-964-9647,해당없음
대구광역시,북구,가정북구재가노인돌봄센터,"대구광역시 북구 오봉로6길 12, 2층",053-959-8310,해당없음
대구광역시,북구,가정종합사회복지관,"대구광역시 북구 대동로 10길 9, 4층 노인맞춤돌봄서비스 사무실",053-958-8310,해당
대구광역시,북구,효성재가노인돌봄센터,"대구광역시 북구 구암로60길 12-1, 1층",053-324-0770,해당없음
대구광역시,북구,가나안재가노인돌봄센터,"대구광역시 북구 칠곡중앙대로 188, 2층",053-322-2660,해당없음
대구광역시,북구,청인재가노인돌봄센터,대구광역시 북구 칠곡중앙대로 459 4층,053-762-8500,해당
대구광역시,서구,노인의전화재가노인돌봄센터,"대구광역시 서구 국채보상로 356, 3층",053-424-6070,해당없음
대구광역시,서구,샬롬재가노인돌봄센터,대구광역시 서구 가르뱅이로 16길 9-1(상리동40-5) 2층,053-523-5830,해당
대구광역시,서구,정다운재가노인돌봄센터,대구광역시 서구 고성로93 (2층),053-359-2227,해당없음
대구광역시,서구,보은재가노인돌봄센터,대구광역시 서구 국채보상로81길 40,053-521-0740,해당없음
대구광역시,수성구,달구벌재가노인돌봄센터,대구 수성구 고산로4안길 59 (신매동) 드림빌 203호,053-793-6938,해당없음
대구광역시,수성구,대구시지 재가노인돌봄센터,"대구광역시 수성구 달구벌대로647길 7, 203호 신매동 경일건설빌딩",053-794-8090,해당
대구광역시,수성구,마야재가노인돌봄센터,대구광역시 수성구 공경로 55 B동 지하1층,053-719-4593,해당
대구광역시,수성구,홀트대구종합사회복지관,대구광역시 수성구 달구벌대로 488길 13 2층,053-746-7501,해당없음
대구광역시,수성구,예원재가노인돌봄센터,"대구광역시 수성구 용학로 2,4층",053-762-7520,해당없음
대구광역시,수성구,화성재가노인돌봄센터,대구광역시 수성구 수성로 64 202호,053-768-1183,해당없음
대구광역시,수성구,선한이웃재가노인돌봄센터,대구광역시 수성구 들안로365 창일빌딩4층,053-793-3467,해당없음
대구광역시,중구,남산종합사회복지관,대구광역시 중구 남산로7길 80,053-254-2562,해당
대구광역시,중구,어르신마을재가노인돌봄센터,대구 중구 서성로 96 (수창동),053-421-0881,해당없음
대구광역시,중구,삼덕재가노인돌봄센터,"대구광역시 중구 공평로 22, 삼덕교회60주년기념관 8층",053-423-3279,해당없음
인천광역시,강화군,강화군청(사회복지과),"인천광역시 강화군 강화읍 북문길11-1 , 3층302호",032-930-3396,해당없음
인천광역시,계양구,구립계산노인복지센터,인천광역시 계양구 경명대로980(계산동)5층,032-556-5627,해당없음
인천광역시,계양구,다사랑재가노인지원서비스센터,"인천 계양구 경명대로 1077 (계산동, 로얄프라자) 5층",032-554-8274,해당
인천광역시,계양구,계양푸른빛재가노인지원서비스센터,"인천광역시 계양구 경명대로 1138, 동남 B/D 302호",032-552-3080,해당없음
인천광역시,남동구,남동구노인복지관,인천광역시 남동구 문화서로62번길 13,032-435-1950,해당없음
인천광역시,남동구,만수종합사회복지관,인천광역시 남동구 담방로 105 2층,032-463-8161,해당없음
인천광역시,남동구,논현종합사회복지관,인천광역시 남동구 호구포로 292 2층 맞춤돌봄서비스 사무실,032-446-9339,해당없음
인천광역시,동구,성언의집재가노인지원서비스센터,인천광역시 동구 화도진로79번길10,032-772-1664,해당없음
인천광역시,동구,동구노인복지관,인천광역시 동구 샛골로177,032-761-3677,해당없음
인천광역시,미추홀구,대한어머니회 재가노인지원서비스센터,"인천광역시 미추홀구 독배로 443, 280호(숭의동, 삼화복합빌딩)",032-868-9207,해당
인천광역시,미추홀구,인천재가노인지원서비스센터,"인천광역시 미추홀구 매소홀로386번길 32, 3층",032-872-9088,해당없음
인천광역시,미추홀구,실업극복인천본부실버센터,인천 미추홀구 인주대로 409-1 (주안동),032-872-3078,해당없음
인천광역시,미추홀구,미추홀재가노인지원서비스센터,"인천 미추홀구 염창로 97 (주안동, 미추홀종합사회복지관)1층 미추홀재가노인지원서비스센터",032-876-8182,해당없음
인천광역시,부평구,인천부평남부지역자활센터,"인천광역시 부평구 후정동로6,2층 (삼산동)부평구자활타운",032-291-3500,해당없음
인천광역시,부평구,부평구노인복지관,인천광역시 부평구 굴포로114(삼산동) 부평구노인복지관 1층 사무실,032-526-4447,해당
인천광역시,부평구,정다운노인요양센터,인천 부평구 평천로 290 (갈산동) 원츠프라자 3층 302호,032-521-4457,해당없음
인천광역시,서구,연희노인문화센터,인천광역시 서구 승학로 263,032-569-7351,해당
인천광역시,서구,서구노인복지관,인천광역시 서구 신석로 121번길 10 2층 사무실,032-582-4071,해당없음
인천광역시,서구,가좌노인문화센터,인천광역시 서구 장고개로387(가좌동),032-581-7074,해당
인천광역시,서구,검단노인복지관,인천광역시 서구 검단로 502번길 15-1 검단노인복지관 2층 사무실,032-561-0129,해당없음
인천광역시,연수구,연수구재가노인복지센터,인천광역시 연수구 함박뫼로 194(연수3동 580),032-811-1230,해당
인천광역시,연수구,청학노인복지관,"인천 연수구 청학로12번길 53 (청학동, 청학 노인복지관)",032-831-7131,해당없음
인천광역시,옹진군,옹진군청,"인천광역시 매소홀로 120, 옹진군청 3층 복지지원실 노인복지팀",032-899-2326,해당없음
인천광역시,중구,중구재가노인지원서비스센터,인천광역시 중구 우현로 3 범진빌딩 4층,032-764-5221,해당
광주광역시,광산구,하남종합사회복지관,광주광역시 광산구 월곡산정로12,062-951-0701,해당
광주광역시,광산구,송광종합사회복지관,광주광역시 광산구 우산로 17,062-941-8248,해당
광주광역시,광산구,원광효도복지센터,광주 광산구 광산로45번길 10 (송정동),062-945-3513,해당없음
광주광역시,광산구,하남효사랑,"광주 광산구 손재로 458 (오선동), 2층 (사)하남효사랑",062-952-9506,해당없음
광주광역시,남구,남구노인복지관,광주광역시 남구 대남대로308번길 32,062-674-5666,해당없음
광주광역시,남구,광주공원노인복지센터,광주광역시 남구 서오층석탑2길 1 광주공원노인복지센터,062-674-3374,해당없음
광주광역시,남구,로뎀노인복지센터,"광주 남구 대남대로308번길 27 (월산동, 만생약국)",062-363-9214,해당
광주광역시,동구,C.C.C.동구노인복지센터,광주광역시 동구 동명로20번길8,062-232-4950,해당없음
광주광역시,동구,빛고을종합사회복지관,"광주 동구 천변좌로 656 (용산동, 빛고을종합사회복지관)",062-234-4563,해당
광주광역시,북구,우산종합사회복지관,광주광역시 북구 중문로 55 2층 우산종합사회복지관내 노인맞춤돌봄사무실,062-266-3851,해당없음
광주광역시,북구,각화종합사회복지관,"광주광역시 북구 군왕로 207번길 6, 각화종합사회복지관",062-265-1052,해당없음
광주광역시,북구,무등종합사회복지관,"광주광역시 북구 삼정로 10,두암주공4단지 관리사무실 2층",062-268-0093,해당
광주광역시,북구,북구노인종합복지관,"광주광역시 북구 군왕로130번길 30 (두암동, 북구노인종합복지회관)",062-266-7727,해당없음
광주광역시,북구,효령노인복지타운,광주광역시 북구 하서로 950,062-603-9988,해당
광주광역시,북구,참빛요양원,광주 북구 서강로67번길 24-21(운암동) 참빛요양원,062-515-1547,해당없음
광주광역시,서구,광주서구노인종합복지관,광주광역시 서구 군분2로 55,062-365-9688,해당없음
광주광역시,서구,쌍촌종합사회복지관,"광주광역시 서구 쌍학로 47, 3층",062-385-4501,해당
광주광역시,서구,금호종합사회복지관,광주광역시 서구 운천로32번길 23,062-376-3017,해당없음
광주광역시,서구,시영종합사회복지관,"광주 서구 화정로 87 (쌍촌동, 시영아파트) 시영종합사회복지관 2층 노인맞춤돌봄서비스",062-372-0360,해당없음
대전광역시,대덕구,대덕구노인종합복지관,대전광역시 대덕구 계족로740번길 80,042-627-0767,해당
대전광역시,대덕구,법동종합사회복지관,대전광역시 대덕구 계족로664번길 27,042-633-0239,해당없음
대전광역시,대덕구,대덕종합사회복지관,대전광역시 대덕구 덕암로 234번길 44 대덕종합사회복지관 2층,042-936-7343,해당없음
대전광역시,동구,동구 정다운어르신복지관,대전광역시 동구 충정로 53-30,042-626-2736,해당
대전광역시,동구,동구행복한어르신복지관,대전광역시 동구 동부로 23,042-282-5910,해당없음
대전광역시,동구,선우노인복지센터,대전광역시 동구 신기로 109-22(가오동) 선우노인복지센터,042-273-0045,해당없음
대전광역시,동구,금성노인복지센터,"대전광역시 동구 우암로 139-3, 1층",042-626-7530,해당없음
대전광역시,서구,유등노인복지관,대전광역시 서구 도솔로 182,042-528-0890,해당
대전광역시,서구,대전서구지역자활센터,대전광역시 서구 계룡로 676 주원빌딩 5층,042-527-1654,해당없음
대전광역시,서구,대전서구노인복지관,대전광역시 서구 남선로 66,042-488-6297,해당
대전광역시,서구,관저종합사회복지관,"대전광역시 서구 구봉로 13, 2층 사무실",042-545-6810,해당없음
대전광역시,서구,서구종합재가센터,"대전 서구 한밭대로592번길 6 (월평동, 장인빌딩) 201호",042-331-8995,해당없음
대전광역시,서구,노인전문요양원 해피존,대전광역시 서구 정각길 200-64,000-000-0000,해당없음
대전광역시,서구,실버누리요양원,대전 서구 흑석2길 37 (흑석동),042-583-2778,해당없음
대전광역시,유성구,유성노인복지센터,대전광역시 유성구 수통골로71번길 10(유성노인복지센터),042-823-7440,해당없음
대전광역시,유성구,유성구노인복지관,대전광역시 유성구 가정로 15 유성구노인복지관,042-862-4634,해당
대전광역시,중구,대전광역시노인복지관,대전광역시 중구 테미로 26 대전광역시노인복지관 3층 사무실,042-242-3100,해당
대전광역시,중구,대전노인복지센터,대전광역시 중구 수침로 89 대전노인복지센터 2층,042-283-1004,해당없음
대전광역시,중구,한빛재가노인복지센터,대전 중구 보문산로245번길 14 (문화동) 1층 한빛재가노인복지센터,042-582-8868,해당없음
