"시설명, 시도, 시군구, 시설유형(대), 시설유형(중), 시설유형(소), 연락처에 대한 조회리스트 정보 표 입니다.",,,,,,
시설명,시도,시군구,시설유형(대),시설유형(중),시설유형(소),연락처
행복한세상복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,264053452
강동믿음재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24738060
좋은아침재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24425670
죽헌 미르데이센터(강동1호),서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-475-8808
노인돌봄센터 엄마를부탁해,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24848890
천호재가노인지원센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-482-3810
시립강동노인복지관 데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-426-2048
둔촌데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24791890
강동 늘푸른 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24270037
재단법인 서울특별시 사회서비스원 강동종합재가센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24837111
둥지 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24298581
이레 재가방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24703004
강일데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,264230016
가온데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-489-0993
사랑배달 재가노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24884858
재가노인지원센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-489-2053
''(A+)''부모사랑복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-426-0091
1288참사랑실버복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24741288
행복 데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24415565
늘편한 재가노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24743033
은혜재가복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24269555
리조이스재가방문센타,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,221354283
천호동성당데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24719973
효순데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24789988
다올림 노인복지재가센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24298250
샬롬케어 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,263691254
강동맘편한 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24261434
효심재가요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-484-3340
(주)롱라이프엘더가든 강동노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,02-441-6512
더사랑방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24151503
강동 어르신 방문요양센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24851006
9학년데이케어센터(재활),서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,269569897
인애재가노인복지센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24889490
성내데이케어센터,서울특별시,강동구,노인,재가노인복지시설,재가노인복지시설,24872592
강동시니어클럽,서울특별시,강동구,노인,노인일자리지원기관,노인일자리지원기관,02-6713-3779
가족사랑요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,29998334
푸른요양원1호점,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-999-2234
강북실버종합복지센터,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-984-0300
강북노인전문요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-900-8957
e-포근한 요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,02-989-9987
봄날북한산요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,29915111
푸른요양원2호점,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,29992234
길재활요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양시설,29926993
북부성모요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29926629
사랑나눔요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29991366
참사랑노인요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-981-1212
가온요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-907-1117
참사랑노인요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-981-1212
강북효심요양원1,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29878879
거목실버홈,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29047782
뜰안채실버요양공동생활가정,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-3491-1849
가인요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29905556
강북유진복지센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-982-8878
민영요양센터2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29877600
행복한노인요양원1,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29026400
효노인복지센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-946-1313
거목노인요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-904-7782
강북효심요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-987-8879
행복한노인요양원2,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-902-6400
강북하루정요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29071235
거목요양홈,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29047782
가족사랑노인요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29948655
햇살요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29003878
민영요양센터,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-987-7600
가온요양원1,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,02-6959-8078
참햇살요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29003878
강북중앙요양원,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29971388
행복한노인요양원3,서울특별시,강북구,노인,노인의료복지시설,노인요양공동생활가정,29026400
강북노인종합복지관,서울특별시,강북구,노인,노인여가복지시설,노인복지관,02-999-9179
강북50플러스센터,서울특별시,강북구,노인,노인여가복지시설,노인교실,1079377137
정겨운재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29808648
찾아가는 효심노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-985-8877
"""강북햇살데이케어센터""",서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-994-7247
우리재가방문요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29808331
늘사랑 요양복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,7087967222
수유데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29458846
미아실버데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29879955
실버벨재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,263970929
큰사랑재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29415006
슬기재활재가간호센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,264499355
가족사랑방문요양복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29034677
강북재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29898992
가온요양원1주야간,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-6959-8078
강북중앙복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29971388
나눔플러스재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29890225
사회적협동조합강북나눔돌봄센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29841416
(A+)사랑나무방문요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29912576
예닮데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29982866
고운마음재가요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29461008
거목노인요양원,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29047782
강북재가노인지원센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-945-9988
삼동재가방문요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-987-1064
시립강북노인종합복지관병설 강북노인주간보호센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-992-6784
효엔재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29883288
효드림노인재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29821117
두드림노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29941008
'힐링'재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29990110
유케어강북센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,260940808
강북희망데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29956090
(주)휴복지법인 주간보호센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29089865
사랑나눔데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29991366
사회복지법인 운가자비원 운가데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-903-1720
강북실버데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29861217
비타민재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29825525
(주)실버웨이복지법인 강북노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,216002873
참사랑노인요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-981-1212
강북THE행복한데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29897421
(사)우이데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-998-6000
강북해오름데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29920077
번동힐데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29803891
강북노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-981-5004
강북 효사랑 재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29988891
이레재가방문센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-913-1842
강북하루정요양원,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29071236
조은노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29812997
대은가정봉사원파견센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29855534
찾아가는 행복노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-999-1002
가족사랑노인요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-994-8655
번동데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-980-3004
행복한재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,264657333
드림재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29757068
도담재가요양센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29821005
더 나눔재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,263696255
서진재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29065588
효노인복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-946-1313
수유실버데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,02-993-4020
닮터데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29880997
가족같은재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29840101
부모사랑방문복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29003004
번동데이케어센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29803004
기억튼튼재활전문데이케어센터(강북점),서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29851311
갓사랑노인재가복지센터,서울특별시,강북구,노인,재가노인복지시설,재가노인복지시설,29915004
쟌쥬강의 집,서울특별시,강서구,노인,노인주거복지시설,양로시설,226022472
그레이스힐,서울특별시,강서구,노인,노인주거복지시설,노인복지주택,02-3660-1510
서울시니어스타워(주)강서본부,서울특별시,강서구,노인,노인주거복지시설,노인복지주택,02-2659-1100
서울시니어스타워(주)가양본부,서울특별시,강서구,노인,노인주거복지시설,노인복지주택,02-3660-7700
시니어스 너싱홈,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-3660-7630
봄날서울요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2661-8600
수명산요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226617300
늘푸른요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226675500
선화요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226551888
마곡수요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,269520405
봄날강서요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226616600
호선실버센터,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2662-6712
참사랑실버케어,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,220651295
봄날실버센터,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226658057
경희요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226678700
한마음노인전문요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2607-7315
나오미요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,220885712
요안나요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226946699
행복마지요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226763275
한가람요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226450558
강서사랑요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,221353710
백영실버스테이,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,226636090
햇살요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-3665-7772
행복한 집,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2662-1815
한솔요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,269520405
천사노인요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양시설,02-2602-2443
강서미소요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,226657800
푸른요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,070-4550-3308
푸른솔요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,070-4550-3306
맑은요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,236642012
강서실버요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,226678890
케어콜요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2692-8888
가족사랑노인요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,226086388
성심노인요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,236632202
밝은햇살요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,226080410
온누리요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2692-8888
솔요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2645-4454
새마음요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-3662-5978
다복요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-2605-5976
희망요양원,서울특별시,강서구,노인,노인의료복지시설,노인요양공동생활가정,02-3663-5978
강서구립화곡노인복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2605-6900
서울시립강서노인종합복지관,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-3664-0322
강서구립봉제산노인복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2605-1553
독거노인원스탑지원센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-3664-0322
강서구립연지노인복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2605-7501
강서구립곰달래어르신복지센터,서울특별시,강서구,노인,노인여가복지시설,노인복지관,02-2699-8264
강서50플러스센터,서울특별시,강서구,노인,노인여가복지시설,노인교실,262955069
바른재가복지센터,서울특별시,강서구,노인,재가노인복지시설,재가노인복지시설,216007610
우장산의료기,서울특별시,강서구,노인,재가노인복지시설,재가노인복지시설,226909119
강서재가노인지원센터,서울특별시,강서구,노인,재가노인복지시설,재가노인복지시설,226648799
서울시사회서비스원 강서종합재가센터,서울특별시,강서구,노인,재가노인복지시설,재가노인복지시설,267357000
국민재가복지센터,서울특별시,강서구,노인,재가노인복지시설,재가노인복지시설,236639119
강서노인주간보호,서울특별시,강서구,노인,재가노인복지시설,재가노인복지시설,02-3664-8805
엘림재가센터,서울특별시,강서구,노인,재가노인복지시설,재가노인복지시설,226623353
