건강생활지원센터명,건강생활지원센터 유형,소재지도로명주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,건강증진사업내용,기타이용안내,의사수,간호사수,영양사수,신체활동전문인력수,물리/작업치료사수,사회복지사수,간호조무사수,기타인력현황,건강검진장비현황,체력측정장비현황,운동장비현황,금연사업장비현황,영양사업장비현황,절주사업장비현황,재활사업장비현황,기타보건교육장비현황,감염병예방장비현황,운영기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
화도건강생활지원센터,기본형,경기도 남양주시 화도읍 비룡로 59,37.65784853,127.3007112,09:00,18:00,토+일+공휴일,신체활동+비만+영양+만성질환예방관리,,0,0,0,0,0,0,0,,인바디+혈압계,없음,없음,없음,식품모형,없음,없음,O,X,031-590-8433,경기도 남양주시 남양주보건소,2022-08-08,B553430,한국건강증진개발원
용호3동건강생활지원센터,동단위형,부산광역시 남구 동명로164번길 40,35.11733521,129.1141211,09:00,17:00,토+일+공휴일,심뇌혈관질환예방관리+신체활동+치매,,0,3,0,0,0,0,0,마을활동가(1),인바디+혈압계+혈당기+당화혈색소측정기,없음,없음,없음,없음,없음,없음,X,X,051-607-6771,부산광역시 남구보건소,2022-08-08,B553430,한국건강증진개발원
장림1동건강생활지원센터,동단위형,부산광역시 사하구 장림로161번길2 보림행복센터,35.08305432,128.9668712,09:00,18:00,토+일+공휴일,금연+치매+신체활동+심뇌혈관질환예방관리,,0,3,0,0,0,0,0,마을활동가(1),인바디+혈압계+혈당계+콜레스테롤기계+,없음,없음,없음,없음,없음,없음,X,X,051-262-9485,부산광역시 사하구보건소,2022-08-08,B553430,한국건강증진개발원
개금3동건강생활지원센터,동단위형,부산광역시 부산진구 개금본동로 88,35.15576358,129.0219366,09:00,18:00,토+일+공휴일,심뇌혈관+신체활동+비만+치매,개금3동 마을건강센터 운영,0,3,0,0,0,0,0,,인바디+자동ㆍ수동혈압계+혈당계+콜레스,없음,없음,없음,식단/식품모형,없음,없음,O,X,051-605-6548,부산광역시 부산진구보건소,2022-08-08,B553430,한국건강증진개발원
구암건강생활지원센터,기본형,대구광역시 북구 구암서로 30,35.9386464,128.5660100361,09:00,18:00,토+일+공휴일,건강동아리+신체활동+금연+치매+방문건강관리,건강놀이터,0,8,2,1,0,0,0,치매상담사(3)+청소원(1),인바디+혈압계,엑서핏(악력ㆍ민첩 등),런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+음주체험고글,없음,O,X,053-665-4281,대구광역시 북구보건소,2022-08-08,B553430,한국건강증진개발원
서구건강생활지원센터(대구광역시),기본형,대구광역시 서구 서대구로7길 46,35.86074781,128.551416,09:00,17:00,일+공휴일,신체활동+심뇌혈관질환예방관리,,0,4,0,1,0,0,0,,인바디+혈압계,악력측정기,없음,없음,없음,없음,없음,X,X,053-663-3231,대구광역시 서구보건소,2022-08-08,B553430,한국건강증진개발원
고산건강생활지원센터,기본형,대구광역시 수성구 욱수천로 99,35.8369885,128.7128212,09:00,18:00,토+일+공휴일,모바일헬스케어+심뇌혈관질환예방관리+신체활동+구강+금연+방문+모자보건+치매,,1,5,2,2,0,0,0,치위생사(2),인바디+혈압계,악력측정기+자전거 에르고미터,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,식단/식품모형+소변검사스틱,없음,없음,O,X,053-666-3160,대구광역시 수성구보건소,2022-08-08,B553430,한국건강증진개발원
효성건강생활지원센터,기본형,"인천광역시 계양구 봉오대로 543번길 21, 효성평생건강센터 3층",37.53252721,126.7086103,09:00,17:00,일+공휴일,금연+신체활동+심뇌혈관질환예방관리,건강체험관 운영,0,2,1,1,0,0,0,보건직(1),인바디+혈압계,악력측정기+자전거에르고미터,런닝머신,일산화탄소(CO)측정기,염도계+식단/식품모형+영양프로그램,없음,없음,O,X,032-430-7793,인천광역시 계양구보건소,2022-08-08,B553430,한국건강증진개발원
간석건강생활지원센터,기본형,인천광역시 남동구 간석로 41번길 18,37.46745879,126.7130108,09:00,18:00,일+공휴일,만성질환예방관리+장애인재활사업+치매주간보호센터사업+이동건강관리사업+건강생활실천사업,,0,4,0,1,3,0,0,행정인력(5),혈압계+인바디+당뇨측정기,종합기능체력검사+악력측정기+유연성검사,공기압운동기구+런닝머신,없음,없음,없음,트레드밀+FES+등속성상하지운동+매그,X,X,032-453-5960,인천광역시 남동구보건소,2022-08-08,B553430,한국건강증진개발원
열우물건강생활지원센터,기본형,인천광역시 부평구 열우물로 103,37.47580459,126.6961223,09:00,18:00,일+공휴일,금연+신체활동+심뇌혈관질환예방관리,체력단련실 운영,0,3,1,1,0,0,0,,인바디+혈압계,스포런종합측정기,런닝머신+순환식유압운동기+레그프레스+,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+콜레스테롤측정기,없음,없음,O,X,032-459-3164,인천광역시 부평구보건소,2022-08-08,B553430,한국건강증진개발원
가좌건강생활지원센터,기본형,인천광역시 서구 건지로 284번길 60,37.49392982,126.6730351,09:00,18:00,일+공휴일,건강원스톱사업+심뇌혈관예방사업+건강증진프로그램+금연 및 흡연예방+임산부등록 및 관리+구강+혈관노화도+혈압ㆍ혈당ㆍ재활기구 대여사업,,0,2,1,1,0,0,0,,체성분분석기+혈압/혈당/콜레스테롤측정,에어로바이크+각근력측정기+종합기능측정,없음,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형,음주체험고글,없음,X,X,032-718-0570,인천광역시 서구보건소,2022-08-08,B553430,한국건강증진개발원
검단건강생활지원센터,기본형,인천광역시 서구 완정로 214,37.60359312,126.6529572,09:00,18:00,일+공휴일,금연+임산부+신체활동+심뇌혈관질환예방관리,건강체험관 운영,0,3,1,1,0,0,0,자활근로(1),인바디+혈압계+콜레스테롤검사기,악력측정기+자전거에르고미터,런닝머신+싸이클,일산화탄소(CO)측정기,식단/식품모형+영양프로그램,없음,없음,X,X,032-718-0580,인천광역시 서구보건소,2022-08-08,B553430,한국건강증진개발원
석남건강생활지원센터,기본형,"인천광역시 서구 길주로 79, 6층",37.50676483,126.670879,09:00,18:00,일+공휴일,건강생활실천사업+심뇌혈관질환예방관리+금연+임산부등록+재활기구대여+불소양치용액배부 및 틀니세척,어린이건강체험관 운영,0,3,0,1,0,0,0,행정인력(2),인바디+혈압계+혈관노화도측정기,악력측정기+자전거에르고미터+윗몸일으키,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,식단/식품모형,음주체험고글,어깨회전운동기,O,O,032-718-0550,인천광역시 서구보건소,2022-08-08,B553430,한국건강증진개발원
완정건강생활지원센터,기본형,"인천광역시 서구 청마로 167번길 19, 2층",37.59210015,126.6746299,09:00,18:00,토+일+공휴일,건강생활실천+심뇌혈관질환예방+신체활동+금연+구강+모자+재활,,0,3,0,1,1,0,0,,인바디+혈압계+당화혈색소+콜레스테롤+,체성분분석기+족압측정기+자세측정기,멀티미디어운동장비+진동운동장비+상하지,일산화탄소(CO)측정기+흡연자 구강모,식단/식품모형+영양프로그램,음주예방모형 판넬,보바스테이블+기립훈련기+FES+전동작,O,X,032-718-0530,인천광역시 서구보건소,2022-08-08,B553430,한국건강증진개발원
송도건강생활지원센터,기본형,인천광역시 연수구 인천타워대로54번길 19,37.37978091,126.6465727,09:00,18:00,토+일+공휴일,만성질환관리+건강생활실천관리+장애인재활관리+모자보건관리,,0,2,1,1,4,0,0,센터장(1)+행정(1)+임상병리사(1,인바디+혈압계,악력측정기+자전거 에르고미터+앉아윗몸,런닝머신+순환식유압운동기+하체근력강화,없음,염도계+영양프로그램,없음,상하지 운동기+전동 상지 운동기+전동,O,O,032-749-6915,인천광역시 연수구보건소,2022-08-08,B553430,한국건강증진개발원
수완건강생활지원센터,기본형,광주광역시 광산구 장덕로 158,35.19707398,126.8257309,09:00,18:00,토+일+공휴일,건강생활실천사업+신체활동+아토피+심뇌혈관질환예방관리+모자보건사업+재활사업 등,어린이건강체험관 운영,0,2,1,1,0,0,0,행정인력(2),인바디+혈압계,악력측정기+각근력측정기+배근력측정기+,없음,흡연자 폐모형,식품모형+영양프로그램,어린이 음주예방모형+음주체험고글,건식수압마사지기+연동상하지운동기,O,O,062-960-8822,광주광역시 광산구보건소,2022-08-08,B553430,한국건강증진개발원
우산건강생활지원센터,기본형,광주광역시 광산구 사암로 167,35.15931267,126.8075588,09:00,18:00,토+일+공휴일,구강+건강생활실천+모바일 헬스케어+대사증후군+재활,구강체험관+재활운동실 운영,0,5,1,1,0,0,0,치과위생사(1),인바디+혈압계+혈당계,악력측정기+자전거에르고미터+윗몸일으키,런닝머신(트레드밀)+좌식 싸이클+레그,없음,비만체험조끼+영양교육 교구,어린이 음주예방모형+음주체험고글,코끼리자전거(연동상하지운동기)+전동꺼,X,X,062-960-3801,광주광역시 광산구보건소,2022-08-08,B553430,한국건강증진개발원
호평건강생활지원센터,기본형,경기도 남양주시 호평로68번길 21,37.65456793,127.2489488,09:00,18:00,토+일+공휴일,신체활동+비만+만성질환예방관리+스트레스관리,,0,0,0,0,0,0,0,,인바디+혈압계,종합체력측정장비,없음,없음,없음,없음,없음,O,X,031-590-8088,경기도 남양주시 남양주보건소,2022-08-08,B553430,한국건강증진개발원
월산건강생활지원센터,기본형,광주광역시 남구 중앙로 12,35.14458489,126.8999216,09:00,18:00,토+일+공휴일,만성질환예방관리+건강생활실천+치매예방관리+영양교육+운동처방실+건강동아리활동지원지역사회 연계협력,건강체험관 운영,0,1,0,1,1,0,0,행정인력(1)+방사선사(1),인바디+혈압계+당화혈색소측정기+스트레,없음,순환식유압운동기,일산화탄소(CO)측정기,염도계+식단/식품모형+영양프로그램,없음,없음,O,X,062-607-6151,광주광역시 남구보건소,2022-08-08,B553430,한국건강증진개발원
주월건강생활지원센터,기본형,광주광역시 남구 군분로 13번길 10,35.13480924,126.8944811,09:00,18:00,토+일+공휴일,신체활동+영양교육+건강의날+운동처방실+건강동아리활동지원+만성질환예방관리+지역사회 연계협력+심뇌혈관질환 예방관리,,0,2,0,1,0,0,0,행정인력(1)+보건인력(1)+청사관리,인바디+혈압계+혈당계+당화혈색소,악력측정기+엑서핏,런닝머신+음파진동기+체스트웨이트+스텝,없음,염도계+당도계+탁상패널(칼로리ㆍ고당),없음,보바스테이블+수동상하지운동기+수력저항,O,X,062-607-3133,광주광역시 남구보건소,2022-08-08,B553430,한국건강증진개발원
지원건강생활지원센터,기본형,"광주광역시 동구 지원로 31-9, 2층(소태동)",35.1253006,126.9351767,09:00,18:00,토+일+공휴일,만성질환예방 및 관리사업+신체활동+영양+비만+재활,건강체험관 운영,0,3,1,0,1,0,0,행정인력(1),인바디+혈압계+콜레스테롤측정기+혈당측,근력측정기,런닝머신+코끼리자전거+종합운동기+레그,없음,염도계+식단/식품모형+염분량입체모형+,어린이 음주예방모형(절주패널)+음주체,근골격재활풀리운동시스템+사다리연습기+,O,X,062-608-3950,광주광역시 동구보건소,2022-08-08,B553430,한국건강증진개발원
두암건강생활지원센터,기본형,광주광역시 북구 군왕로 141번길 6,35.17431405,126.9324676,09:00,18:00,토+일+공휴일,방문건강관리+재활보건,,0,14,0,0,2,0,0,행정인력(1)+운전직(1),인바디+혈압계,없음,없음,없음,없음,없음,없음,X,X,062-410-8984,광주광역시 북구보건소,2022-08-08,B553430,한국건강증진개발원
본촌건강생활지원센터,기본형,광주광역시 북구 양산택지로79번길 26,35.2140802,126.879098,09:00,18:00,토+일+공휴일,만성질환예방관리+신체활동+방문+어린이+임산부,건강체험관 운영,0,4,0,1,1,0,0,,체성분측정기+대사증후군혈액검사기+혈압,엑서핏+악력계,러닝머신+유압운동기+싸이클+에어보드,흡연자/비흡연자 폐비교모형+일산화탄소,비만결과모형+비만체험거울+어린이체중조,음주체험고글+음주측정기+간괴사3D모형,없음,O,O,062-410-6226,광주광역시 북구보건소,2022-08-08,B553430,한국건강증진개발원
서구건강생활지원센터(광주광역시),기본형,광주광역시 서구 운천로 172번길 32,35.14818147,126.8601043,09:00,18:00,토+일+공휴일,심뇌혈관질환예방관리,,0,3,0,0,0,0,0,행정인력(2),혈압계+혈당계+콜레스테롤측정기+당화혈,없음,없음,없음,없음,없음,없음,X,X,062-350-4173,광주광역시 서구보건소,2022-08-08,B553430,한국건강증진개발원
쌍촌건강생활지원센터,기본형,"광주광역시 서구 쌍학로 47, 쌍촌종합사회복지관 2층",35.14738171,126.8688313,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관질환예방관리,,0,4,0,0,0,0,1,,인바디+혈압계+혈당계+콜레스테롤측정계,악력측정기+자전거에르고미터+체력진단시,런닝머신,없음,없음,없음,없음,O,O,062-350-4741,광주광역시 서구보건소,2022-08-08,B553430,한국건강증진개발원
남부건강생활지원센터(대전광역시),기본형,대전광역시 대덕구 동춘당로 187,36.36720767,127.4308386,09:00,18:00,토+일+공휴일,금연+영양+신체활동+심뇌혈관질환예방관리,,1,5,2,5,0,0,0,,체성분 검사기+자동혈압계+체온계+PO,악력측정기+자전거 에르고미터+종합기능,런닝머신+자전거 에르고미터+스텝퍼+스,일산화탄소(CO)측정기+혈압계,근육ㆍ지방 1kg세트+식품교환단위+식,없음,없음,X,X,042-608-4472,대전광역시 대덕구보건소,2022-08-08,B553430,한국건강증진개발원
무거건강생활지원센터,기본형,울산광역시 남구 대학로 147번길 41-26,35.55124507,129.2596407,09:00,18:00,토+일+공휴일,신체활동+영양+금연+심뇌혈관질환예방관리+재활+방문,,0,4,2,2,1,0,0,,체성분측정기+전자혈압계+수동혈압계+혈,종합체력진단기,런닝머신+자전거+순환식 유압운동기+아,일산화탄소(CO)측정기+폐모형+타르모,조리실습장비+염도계+식품모형+탁상용패,없음,마사지기계+수동식 정형용 운동장치+사,X,X,052-226-2340,울산광역시 남구보건소,2022-08-08,B553430,한국건강증진개발원
고운동건강생활지원센터,기본형,세종특별자치시 마음로 64,36.50497406,127.2353641,09:00,18:00,토+일+공휴일,심뇌혈질환관리사업+신체활동+영양 등,어린이건강체험관 운영,0,1,0,1,0,0,1,행정인력(1),인바디+혈압계+혈당계+콜레스테롤 측정,각근력측정기+윗몸일으키기대+유연성측정,싯업대+에어보드+순환식 유압운동기(체,흡연자/비흡연자 폐 모형,당뇨/고혈압 식단 모형+식품별 소금 ,음주체험고글,유인헬스(건강증진 스마트 운동 시스템,O,X,044-301-2900,세종특별자치시 보건소,2022-08-08,B553430,한국건강증진개발원
고양건강생활지원센터,기본형,"경기도 고양시 덕양구 혜음로 19-11, 고양동종합복지회관 3층",37.70251731,126.9011967,09:00,18:00,일+공휴일,신체활동+영양교육+대사증후군예방관리,,0,1,1,1,0,0,0,행정인력(3),인바디+혈압계+콜레스테롤측정기,악력측정기+배근력측정기+에어로바이크 ,런닝머신+좌식및입식자전거,일산화탄소(CO)측정기,식단모형,없음,없음,O,X,02-8075-9668~,경기도 고양시덕양구보건소,2022-08-08,B553430,한국건강증진개발원
100세건강생활지원센터,기본형,경기도 광명시 오리로 1018,37.48091392,126.8504732,09:00,18:00,토+일+공휴일,심뇌혈관질환예방관리+신체활동+금연+임산부+아토피천식,,0,2,1,0,0,0,0,,인바디+혈압계+콜레스테롤측정기+혈당계,악력측정기+배근력측정기,러닝머신+순환식유압운동기,폐활량계,없음,없음,없음,X,X,02-2680-5173~,경기도 광명시보건소,2022-08-08,B553430,한국건강증진개발원
오포건강생활지원센터,기본형,경기도 광주시 오포읍 오포로 884-1,37.36912576,127.2322113,09:00,18:00,토+일+공휴일,모바일헬스케어+아토피천식 예방관리+재활사업+신체활동,건강체험관 운영,1,2,1,1,2,0,0,행정인력(1),인바디+혈압계,악력측정기+자전거에르고미터(기초체력통,수력상지저항운동기+좌식싸이클+전신교차,비흡연자/흡연자  폐모형,식품 모형,음주 체험고글,트레드밀+기립훈련기+코너계단+평행봉+,X,O,031-760-2558,경기도 광주시보건소,2022-08-08,B553430,한국건강증진개발원
다산건강생활지원센터,기본형,"경기도 남양주시 다산중앙로 7, 다산행정복지센터 2층",37.61392759,127.1555489,09:00,18:00,토+일+공휴일,신체활동+비만+영양+만성질환예방관리,,0,1,2,1,0,0,0,행정인력(2),인바디+혈압계,종합체력측정장비,없음,없음,식품모형,없음,없음,O,X,031-590-8583,경기도 남양주시 남양주보건소,2022-08-08,B553430,한국건강증진개발원
별내건강생활지원센터,기본형,경기도 남양주시 별내3로 64-21,37.64616615,127.1218825,09:00,18:00,토+일+공휴일,신체활동+비만+심뇌혈관질환예방관리,,0,1,0,1,0,0,0,행정인력(1),인바디+혈압계,없음,없음,없음,없음,없음,없음,O,X,031-590-8190,경기도 남양주시 남양주풍양보건소,2022-08-08,B553430,한국건강증진개발원
오남건강생활지원센터,기본형,"경기도 남양주시 오남읍 진건오남로 806-34, 오남읍사무소 2층",37.69857479,127.2048424,09:00,18:00,토+일+공휴일,신체활동+비만+심뇌혈관질환예방관리,아동용 건강체험관 운영 예정(예약제),0,1,0,1,0,0,0,행정인력(1),인바디+혈압계,없음,없음,없음,없음,어린이 음주예방모형+음주체험고글,없음,O,X,031-590-8501,경기도 남양주시 남양주풍양보건소,2022-08-08,B553430,한국건강증진개발원
와부건강생활지원센터,기본형,경기도 남양주시 와부읍 월문천로 35,37.58551527,127.2163281,09:00,18:00,토+일+공휴일,신체활동+영양+만성질환예방관리+구강건강관리,,0,0,0,0,0,0,0,,인바디+혈압계,종합체력측정장비,없음,없음,식품모형,없음,없음,O,X,031-590-2751,경기도 남양주시 남양주보건소,2022-08-08,B553430,한국건강증진개발원
배곧건강생활지원센터,동단위형,경기도 시흥시 배곧4로 94-41,37.37170542,126.735733,09:00,18:00,토+일+공휴일,신체활동+만성질환 예방 및 관리사업,,0,2,0,1,0,0,0,,인바디+혈압계,종합기능체력측정기+근력운동기,순환식운동기,없음,없음,없음,없음,X,X,031-428-0005~,경기도 시흥시보건소,2022-08-08,B553430,한국건강증진개발원
중부건강생활지원센터,기본형,경기도 시흥시 목감우회로 23,37.38165404,126.8587492,09:00,18:00,토+일+공휴일,재활보건사업+영양+심뇌혈관질환예방관리+금연+구강+여성과 어린이 건강증진+신체활동+기타,,0,3,3,1,4,0,0,의무기록사(1)+치위생사(1)+위생사,체성분측정기계(인바디770)+혈압계+,없음,순환운동장비(레그프레스+레그익스텐션+,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+뷰박스+당도계+,없음,상지기능 평가도구 1종+전동운동기구 ,O,X,031-310-0702,경기도 시흥시보건소,2022-08-08,B553430,한국건강증진개발원
서부건강생활지원센터(안산시),기본형,경기도 안산시 단원구 신길중앙로 15(신길동),37.33799202,126.7621943,09:00,18:00,토+일+공휴일,대사증후군 검진+금연클리닉+흡연예방교육+비만ㆍ고지혈증 관리+당뇨ㆍ고혈압 관리+영양운동절주 통합상담+나트륨줄이기 염도계 대여,,0,2,1,0,0,0,0,행정인력(1),혈압계+고지혈검사기+혈당검사기+빈혈검,인바디+악력측정기+신장체중계,지능형트레드밀+지능형 레그프레스+지능,일산화탄소(CO)측정기+폐활량측정기,염도계,없음,없음,X,X,031-481-6466,경기도 안산시단원구보건소,2022-08-08,B553430,한국건강증진개발원
반월건강생활지원센터,기본형,경기도 안산시 상록구 건건로 119-4,37.31219292,126.904515,09:00,18:00,일+공휴일,금연+신체활동+심뇌혈관질환예방관리,어린이건강체험관 운영,0,2,1,0,1,0,0,보건직(1),인바디+혈압계,종합체력진단장비,체스트링크+레그링크+숄더링크+콕사링크,일산화탄소(CO)측정기,염도계+식단/식품모형,음주체험고글,하체근력강화기,O,X,031-481-3792,경기도 안산시상록구보건소,2022-08-08,B553430,한국건강증진개발원
공도건강생활지원센터,기본형,경기도 안성시 공도읍 공도로 51-11,36.99971892,127.1661071,09:00,18:00,토+일+공휴일,신체활동+만성질환예방관리,꿈나무건강체험관 운영,0,4,0,1,1,0,0,임상병리사(1)+방사선사(1),인바디+혈압계+혈당계+총콜레스테톨,악력측정기+자전거에르고미터+각근력측정,런닝머신+헬스자전거,흡연자 구강모형,어린이 영양식품 모형,어린이 음주예방모형+음주체험고글,휠체어+워커,X,X,031-678-6801,경기도 안성시보건소,2022-08-08,B553430,한국건강증진개발원
동부건강생활지원센터(양주시),기본형,경기도 양주시 화합로 1426번길 90,37.83814181,127.068036,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관+대사증후군+모바일헬스케어+영양플러스+재활,,0,3,1,1,3,0,0,행정인력(3),인바디+혈압계,자전거＋체력측정및운동가이드시스템,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형,없음,순환운동장비+슬링+워킹레일+파라포디움,O,X,031-8082-4365,경기도 양주시보건소,2022-08-08,B553430,한국건강증진개발원
서부건강생활지원센터(양주시),기본형,경기도 양주시 광적면 부흥로 618번길 303,37.81249969,126.9723072,09:00,18:00,토+일+공휴일,금연+신체활동+심뇌혈관+대사증후군+한의약+영양사업,어린이건강체험관 운영,0,2,1,1,0,0,0,상담인력(3),인바디+혈압계,자전거＋체력측정및운동가이드시스템,런닝머신+순환식유압운동기,일산화탄소(CO)측정기+흡연자 구강모,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+음주체험고글,없음,O,X,031-8082-4375,경기도 양주시보건소,2022-08-08,B553430,한국건강증진개발원
오산시건강생활지원센터,기본형,"경기도 오산시 문헌공로 45, 1층",37.17664285,127.0545674,09:00,18:00,토+일+공휴일,심뇌혈관질환예방관리+한의약건강증진+운동관리,,0,3,1,1,0,0,0,행정인력(1),인바디+혈압계+신장계,없음,런닝머신+트레드밀+사이클+레그프레스+,없음,염도계+식품모형,없음,없음,X,X,031-8036-6580,경기도 오산시보건소,2022-08-08,B553430,한국건강증진개발원
