,0
29,"국악
공연/전시
유료
서울
국악대학전
제공유형
오프라인
장소
남산골한옥마을
기간
2022-10-31~2022-11-02
문의처
사단법인 정가악회 전화 02-583-9979
자세히보기
예매 바로가기"
30,"연극
공연/전시
유료
경남
작은 무대에 부는 바람, 행복아파트 강아지 도난사건
제공유형
오프라인
장소
현장아트홀
기간
2022-10-31~2022-11-02
문의처
예술중심현장 055-746-7411, 7413
자세히보기
예매 바로가기"
31,"연극
공연/전시
유료
광주
제25회 광주소극장축제, 오발탄
제공유형
오프라인
장소
예린소극장
기간
2022-11-01~2022-11-02
문의처
광주소극장협회 062-222-7008 / 010-4701-7300
자세히보기
예매 바로가기"
32,"음악/콘서트
공연/전시
유료
서울
[집밖] 제5회 현대음악창작단체 꾼 정기연주회
제공유형
오프라인
장소
일신홀
기간
2022-11-02~2022-11-02
문의처
현대문화기획 02-2266-1307
자세히보기
예매 바로가기"
33,"무용/발레
공연/전시
유료
부산
수요공감, 법장 우한웅의 춤
제공유형
오프라인
장소
국립부산국악원
기간
2022-11-02~2022-11-02
문의처
국립부산국악원 051-811-0114
자세히보기
예매 바로가기"
34,"음악/콘서트
공연/전시
무료
부산
부산학생예술문화회관 교직원 초청 공연: 체코 세베라첵 합창단 내한 공연
제공유형
오프라인
장소
부산학생예술문화회관
기간
2022-11-02~2022-11-02
문의처
부산학생예술문화회관 운영부 공연전시팀 051-366-8120
자세히보기
예매 바로가기"
35,"음악/콘서트
공연/전시
유료
충남
계용묵의 백치 아다다 그리고 우리가곡
제공유형
오프라인
장소
천안예술의전당
기간
2022-11-02~2022-11-02
문의처
나무예술기획 042-477-8220
자세히보기
예매 바로가기"
36,"음악/콘서트
공연/전시
유료
서울
코랄 TGY & TGY 심포니 오케스트라 10주년 기념연주회
제공유형
오프라인
장소
영산아트홀
기간
2022-11-02~2022-11-02
문의처
영음예술기획 02-581-5404
자세히보기
예매 바로가기"
37,"국악
공연/전시
무료
서울
수현의 풍류 修玄의 風流 (서울풍류)
제공유형
오프라인
장소
국립국악원 우면당
기간
2022-11-02~2022-11-02
문의처
010-2686-2528
자세히보기
예매 바로가기"
38,"국악
공연/전시
유료
부산
힐링콘서트, OLD & NEW 금암 김병호 원가락 프로젝트
제공유형
오프라인
장소
을숙도문화회관
기간
2022-11-02~2022-11-02
문의처
을숙도문화회관 051-220-5811
자세히보기
예매 바로가기"
39,"무용/발레
공연/전시
무료
경기
무용창극, 소원
제공유형
오프라인
장소
성남아트리움 (구 성남시민회관)
기간
2022-11-02~2022-11-02
문의처
010-9088-2651
자세히보기
예매 바로가기"
40,"국악
공연/전시
유료
경남
오르樂 내리樂 [함양]
제공유형
오프라인
장소
함양군문화예술회관
기간
2022-11-02~2022-11-02
문의처
함양문화예술회관 055-960-6710
자세히보기
예매 바로가기"
41,"음악/콘서트
공연/전시
유료
대구
김두민 첼로 리사이틀 (11.2)
제공유형
오프라인
장소
공간 울림
기간
2022-11-02~2022-11-02
문의처
공간울림 053-765-5632
자세히보기
예매 바로가기"
42,"음악/콘서트
공연/전시
유료
경기
송보경 피아노 독주회
제공유형
오프라인
장소
성남아트센터
기간
2022-11-02~2022-11-02
문의처
온뮤직컴퍼니 043-904-0126
자세히보기
예매 바로가기"
43,"음악/콘서트
공연/전시
유료
서울
New Music Festival, Music Today 21: 창작음악제 (11.2)
제공유형
오프라인
장소
예술의전당 리사이틀홀
기간
2022-11-02~2022-11-02
문의처
현대문화기획 02-2266-1307
자세히보기
예매 바로가기"
44,"음악/콘서트
공연/전시
무료
경기
제9회 초림초등학교 오케스트라 정기연주회
제공유형
오프라인
장소
성남아트센터 콘서트홀
기간
2022-11-02~2022-11-02
문의처
성남아트센터 031-783-8000
자세히보기
예매 바로가기"
45,"국악
공연/전시
무료
서울
[집밖] 한중 전통문화예술교류제
제공유형
오프라인
장소
예술의전당 콘서트홀
기간
2022-11-02~2022-11-02
문의처
02-2655-3060
자세히보기
예매 바로가기"
46,"국악
공연/전시
유료
대구
영남해금앙상블 해담 창단기념 연주회 [대구]
제공유형
오프라인
장소
프란츠홀
기간
2022-11-02~2022-11-02
문의처
프란츠클래식 0507-1338-2389
자세히보기
예매 바로가기"
47,"음악/콘서트
공연/전시
무료
광주
ACC 수요극장, 스피릿 오브 베토벤
제공유형
오프라인
장소
국립아시아문화전당
기간
2022-11-02~2022-11-02
문의처
국립아시아문화전당 1899-5566
자세히보기
예매 바로가기"
48,"음악/콘서트
공연/전시
유료
서울
체리 듀오 리사이틀
제공유형
오프라인
장소
예술의전당 인춘아트홀
기간
2022-11-02~2022-11-02
문의처
인터파크 1544-1555
자세히보기
예매 바로가기"
49,"음악/콘서트
공연/전시
무료
강원
영 아티스트 협주곡 콘서트
제공유형
오프라인
장소
강릉아트센터 사임당홀
기간
2022-11-02~2022-11-02
문의처
강원문화재단 033-240-1363
자세히보기
예매 바로가기"
50,"국악
공연/전시
무료
서울
제25회 수원대학교 국악과 정기연주회
제공유형
오프라인
장소
국립국악원 예악당
기간
2022-11-02~2022-11-02
문의처
수원대학교 음악대학 031-229-8173
자세히보기
예매 바로가기"
51,"음악/콘서트
공연/전시
유료
서울
제2회 블루밍 트리오 정기연주회
제공유형
오프라인
장소
예술의전당 IBK챔버홀
기간
2022-11-02~2022-11-02
문의처
마스트미디어 02-541-3150
자세히보기
예매 바로가기"
52,"음악/콘서트
공연/전시
유료
서울
제69회 서울예술가곡연구회 정기연주회
제공유형
오프라인
장소
세종문화회관 체임버홀
기간
2022-11-02~2022-11-02
문의처
유니코예술기획 02-532-4876
자세히보기
예매 바로가기"
53,"무용/발레
공연/전시
유료
경기
공존 그리고 진화
제공유형
오프라인
장소
경기아트센터
기간
2022-11-02~2022-11-02
문의처
경기아트센터 031-230-3440
자세히보기
예매 바로가기"
54,"연극
공연/전시
무료
경기
제2회 N티스트페스티벌, 도자기의 비밀
제공유형
오프라인
장소
다산아트홀
기간
2022-11-02~2022-11-02
문의처
남양주아트센터 031-592-1811
자세히보기
예매 바로가기"
55,"음악/콘서트
공연/전시
유료
부산
BUM 타악기 앙상블, 두드려 그려내다
제공유형
오프라인
장소
영도문화예술회관
기간
2022-11-02~2022-11-02
문의처
영도문화예술회관 051-419-5571~4
자세히보기
예매 바로가기"
56,"음악/콘서트
공연/전시
무료
서울
제9회 예원예술대학교 음악학과 졸업 연주회
제공유형
오프라인
장소
북서울 꿈의숲아트센터
기간
2022-11-02~2022-11-02
문의처
세종문화티켓 02-399-1000
자세히보기
예매 바로가기"
57,"연극
공연/전시
유료
광주
제25회 광주소극장축제, Back to the Music
제공유형
오프라인
장소
씨어터 연바람
기간
2022-11-02~2022-11-02
문의처
광주소극장협회 062-222-7008 / 010-4701-7300
자세히보기
예매 바로가기"
58,"음악/콘서트
공연/전시
유료
인천
안화영 피아노 독주회 [인천]
제공유형
오프라인
장소
엘림아트센터
기간
2022-11-02~2022-11-02
문의처
엘림아트센터 032-289-4275
자세히보기
예매 바로가기"
59,"음악/콘서트
공연/전시
유료
서울
서울시합창단 M컬렉션 II, 시그널
제공유형
오프라인
장소
세종문화회관 M씨어터
기간
2022-11-02~2022-11-02
문의처
세종문화티켓 02-399-1000
자세히보기
예매 바로가기"
60,"음악/콘서트
공연/전시
유료
부산
제593회 부산시립교향악단 정기연주회
제공유형
오프라인
장소
부산문화회관 대극장
기간
2022-11-02~2022-11-02
문의처
부산문화회관 051-607-6000 (ARS 1번)
자세히보기
예매 바로가기"
61,"연극
공연/전시
유료
경북
전태일: 네 이름은 무엇이냐 [구미]
제공유형
오프라인
장소
강동문화복지회관 천생아트홀
기간
2022-11-02~2022-11-02
문의처
함께하는 연극 전태일 010-4251-1952, 010-7942-8344
자세히보기
예매 바로가기"
62,"음악/콘서트
공연/전시
무료
울산
한국 환상곡 [울산]
제공유형
오프라인
장소
울산문화예술회관
기간
2022-11-02~2022-11-02
문의처
울산문화예술회관 052-275-9623
자세히보기
예매 바로가기"
63,"연극
공연/전시
유료
대구
제33회 극단 가인 정기공연, 공중전화
제공유형
오프라인
장소
작은무대 극단가인
기간
2022-10-27~2022-11-03
문의처
극단 가인 070-8879-0421, 010-6507-2171
자세히보기
예매 바로가기"
64,"연극
공연/전시
유료
서울
구덩이
제공유형
오프라인
장소
소극장피카소
기간
2022-10-29~2022-11-03
문의처
010-4943-3505
자세히보기
예매 바로가기"
65,"연극
공연/전시
유료
서울
제22회 월드 2인극 페스티벌, 글뤽 아우프
제공유형
오프라인
장소
대학로 예술공간 혜화
기간
2022-11-01~2022-11-03
문의처
2인극페스티벌 조직위원회 070-7776-6613
자세히보기
예매 바로가기"
66,"연극
공연/전시
유료
서울
제22회 월드 2인극 페스티벌, 종이풍선
제공유형
오프라인
장소
대학로 예술공간 혜화
기간
2022-11-01~2022-11-03
문의처
2인극페스티벌 조직위원회 070-7776-6613
자세히보기
예매 바로가기"
67,"연극
공연/전시
유료
경남
작은 무대에 부는 바람, 아버지와 살면
제공유형
오프라인
장소
현장아트홀
기간
2022-11-01~2022-11-03
문의처
한국연극협회 진주지부 055-746-7411, 7413
자세히보기
예매 바로가기"
68,"연극
공연/전시
유료
경북
작은 무대에 부는 바람, 정크, 클라운
제공유형
오프라인
장소
소극장 공터다
기간
2022-11-01~2022-11-03
문의처
054-444-0604
자세히보기
예매 바로가기"
69,"뮤지컬/오페라
공연/전시
유료
전남
만호 [목포]
제공유형
오프라인
장소
목포시민문화체육센터 대공연장
기간
2022-11-02~2022-11-03
문의처
010-3088-9982
자세히보기
예매 바로가기"
70,"국악
공연/전시
무료
부산
허물어진 경계, HAEGEUM
제공유형
오프라인
장소
국립부산국악원
기간
2022-11-03~2022-11-03
문의처
010-3006-3019
자세히보기
예매 바로가기"
71,"음악/콘서트
공연/전시
유료
서울
[집밖] 현대음악앙상블 소리 기획연주회, TRILOGY Ⅹ
제공유형
오프라인
장소
예술의전당 리사이틀홀
기간
2022-11-03~2022-11-03
문의처
지클레프 02-515-5123
자세히보기
예매 바로가기"
72,"연극
공연/전시
유료
전북
골든타임 [고창]
제공유형
오프라인
장소
고창문화의전당
기간
2022-11-03~2022-11-03
문의처
고창문화의전당 063-560-8041
자세히보기
예매 바로가기"
73,"음악/콘서트
공연/전시
유료
솔트인챔버의 위로가 필요한 그대에게
제공유형
오프라인
장소
플레이캠퍼스 (플레이캠퍼스)
기간
2022-11-03~2022-11-03
문의처
엔티켓 1588-2341
자세히보기
예매 바로가기"
74,"음악/콘서트
공연/전시
무료
서울
제54회 목화음악회
제공유형
오프라인
장소
북서울 꿈의숲아트센터
기간
2022-11-03~2022-11-03
문의처
영음예술기획 02-581-5404
자세히보기
예매 바로가기"
75,"연극
공연/전시
유료
일이구프로덕션 가을 제작 공연, 이방인 [평택]
제공유형
오프라인
장소
비쥬얼먼트 (비쥬얼먼트)
기간
2022-11-03~2022-11-03
문의처
일이구프로덕션 010-6496-8939
자세히보기
예매 바로가기"
76,"국악
공연/전시
유료
부산
힐링콘서트, 청춘이색 絃-打
제공유형
오프라인
장소
을숙도문화회관
기간
2022-11-03~2022-11-03
문의처
을숙도문화회관 051-220-5811
자세히보기
예매 바로가기"
77,"음악/콘서트
공연/전시
유료
울산
체코 세베라첵 합창 공연
제공유형
오프라인
장소
서울주문화센터
기간
2022-11-03~2022-11-03
문의처
서울주문화센터 052-262-8902
자세히보기
예매 바로가기"
78,"음악/콘서트
공연/전시
유료
서울
New Music Festival, Music Today 21: 창작음악제 2
제공유형
오프라인
장소
일신홀
기간
2022-11-03~2022-11-03
문의처
현대문화기획 02-2266-1307
자세히보기
예매 바로가기"
79,"음악/콘서트
공연/전시
무료
전남
제126회 목포시립교향악단 정기연주회
제공유형
오프라인
장소
목포시문화예술회관
기간
2022-11-03~2022-11-03
문의처
목포시립교향악단 061-281-3108
자세히보기
예매 바로가기"
80,"음악/콘서트
공연/전시
유료
서울
화음챔버오케스트라 미술관 순례 Ⅰ
제공유형
오프라인
장소
예술의전당 인춘아트홀
기간
2022-11-03~2022-11-03
문의처
조선통신사 02-544-9092
자세히보기
예매 바로가기"
81,"연극
공연/전시
유료
경기
조용한가족 [화성]
제공유형
오프라인
장소
누림아트홀
기간
2022-11-03~2022-11-03
문의처
누림아트홀 1899-3254
자세히보기
예매 바로가기"
82,"연극
공연/전시
유료
서울
서리풀악동문화공연
제공유형
오프라인
장소
SCC홀[서울 바로크 챔버홀]
기간
2022-11-03~2022-11-03
문의처
인터파크 1544-1555
자세히보기
예매 바로가기"
83,"기타
공연/전시
무료
서울
롯데 패밀리 음악회
제공유형
오프라인
장소
롯데콘서트홀
기간
2022-11-03~2022-11-03
문의처
롯데문화재단 1544-7744
자세히보기
예매 바로가기"
84,"음악/콘서트
공연/전시
무료
경기
제2회 N티스트페스티벌, Belle Epoque 벨에포크 아름다운 시대
제공유형
오프라인
장소
다산아트홀
기간
2022-11-03~2022-11-03
문의처
남양주아트센터 031-592-1811
자세히보기
예매 바로가기"
85,"음악/콘서트
공연/전시
유료
서울
제193회 목요예술무대, 그랜드 오페라 갈라쇼
제공유형
오프라인
장소
강동아트센터
기간
2022-11-03~2022-11-03
문의처
강동아트센터 02-440-0500
자세히보기
예매 바로가기"
86,"음악/콘서트
공연/전시
유료
경기
제14회 서울베아투스합창단 정기연주회
제공유형
오프라인
장소
성남아트센터 콘서트홀
기간
2022-11-03~2022-11-03
문의처
서울모테트음악재단 02-579-7295
자세히보기
예매 바로가기"
87,"음악/콘서트
공연/전시
무료
제11회 광주광역시 북구 시니어합창단 정기연주회
제공유형
오프라인
장소
광주북구문화센터(양산도서관) (공연장)
기간
2022-11-03~2022-11-03
문의처
광주북구청 문화예술과 062-410-8479
자세히보기
예매 바로가기"
88,"국악
공연/전시
무료
서울
제18회 경기가야금앙상블 정기연주회
제공유형
오프라인
장소
국립국악원 풍류사랑방
기간
2022-11-03~2022-11-03
문의처
경기가야금앙상블 010-2324-9978
자세히보기
예매 바로가기"
89,"음악/콘서트
공연/전시
유료
서울바흐축제, 칸타타 시리즈
제공유형
오프라인
장소
경동교회 (경동교회)
기간
2022-11-03~2022-11-03
문의처
콜레기움 보칼레 서울 0502-1935-1750
자세히보기
예매 바로가기"
90,"뮤지컬/오페라
공연/전시
무료
경기
제2회 N티스트페스티벌, 홍도야 울지 마라
제공유형
오프라인
장소
다산아트홀
기간
2022-11-03~2022-11-03
문의처
남양주아트센터 031-592-1811
자세히보기
예매 바로가기"
91,"음악/콘서트
공연/전시
무료
세종
현대자동차그룹 문화공헌 콘서트: 함께
제공유형
오프라인
장소
세종 예술의전당
기간
2022-11-03~2022-11-03
문의처
세종예술의전당 044-850-8922 / 한국메세나협회 02-784-1510
자세히보기
예매 바로가기"
92,"무용/발레
공연/전시
유료
경기
오닝콘서트, 국립현대무용단과 함께하는 현대무용 이야기 [평택]
제공유형
오프라인
장소
평택남부문예회관 대공연장
기간
2022-11-03~2022-11-03
문의처
평택시문화재단 031-8053-3513
자세히보기
예매 바로가기"
93,"음악/콘서트
공연/전시
유료
광주
이후성 첼로 독주회
제공유형
오프라인
장소
유스퀘어문화관 금호아트홀
기간
2022-11-03~2022-11-03
문의처
010-5606-5001
자세히보기
예매 바로가기"
94,"음악/콘서트
공연/전시
유료
서울
제150회 강남문화재단 클래식품격콘서트
제공유형
오프라인
장소
광림아트센터 장천홀
기간
2022-11-03~2022-11-03
문의처
강남문화재단 02-6712-0533 / 강남심포니오케스트라 02-565-1115
자세히보기
예매 바로가기"
95,"연극
공연/전시
유료
경북
2호선 세입자 [의성]
제공유형
오프라인
장소
의성문화체육회관
기간
2022-11-03~2022-11-03
문의처
의성군 관광문화과 054-830-6305
자세히보기
예매 바로가기"
96,"음악/콘서트
공연/전시
무료
전북
제109회 군산시립합창단 정기연주회
제공유형
오프라인
장소
군산예술의전당
기간
2022-11-03~2022-11-03
문의처
군산시립합창단 063-454-5558, 5528
자세히보기
예매 바로가기"
97,"음악/콘서트
공연/전시
유료
서울
국립심포니오케스트라, DR's Pick Ⅲ: 세헤라자데
제공유형
오프라인
장소
LG아트센터
기간
2022-11-03~2022-11-03
문의처
LG아트센터 서울 티켓박스 1661-0017
자세히보기
예매 바로가기"
98,"국악
공연/전시
유료
서울
정오의 음악회 (11월)
제공유형
오프라인
장소
국립극장 해오름극장
기간
2022-11-03~2022-11-03
문의처
국립극장 02-2280-4114
자세히보기
예매 바로가기"
99,"음악/콘서트
공연/전시
유료
부산
부산시립합창단 특별연주회, 합창으로 만나는 가을연가
제공유형
오프라인
장소
금정문화회관
기간
2022-11-03~2022-11-03
문의처
부산문화회관 051-607-6000 (ARS 1번)
자세히보기
예매 바로가기"
100,"음악/콘서트
공연/전시
유료
대구
월드오케스트라시리즈, 경북예술고등학교 오케스트라
제공유형
오프라인
장소
대구콘서트하우스 그랜드홀
기간
2022-11-03~2022-11-03
문의처
월드오케스트라시리즈 조직위원회 053-250-1447~8
자세히보기
예매 바로가기"
101,"음악/콘서트
공연/전시
유료
서울
빈 필하모닉 & 프란츠 벨저-뫼스트 (11.03)
제공유형
오프라인
장소
예술의전당 콘서트홀
기간
2022-11-03~2022-11-03
문의처
더블유씨엔코리아 02-2183-1291~4
자세히보기
예매 바로가기"
102,"뮤지컬/오페라
공연/전시
유료
서울
안녕하세요!
제공유형
오프라인
장소
북서울 꿈의숲아트센터
기간
2022-11-03~2022-11-03
문의처
www.facebook.com/leadhandp / 인터파크 1544-1555
자세히보기
예매 바로가기"
103,"음악/콘서트
공연/전시
유료
부산
제5회 KNN 방송교향악단 정기연주회
제공유형
오프라인
장소
부산시민회관
기간
2022-11-03~2022-11-03
문의처
KNN방송교향악단 051-850-9568
자세히보기
예매 바로가기"
104,"무용/발레
공연/전시
유료
경북
엘리트 발레, 음악 더하기 발레 [문경]
제공유형
오프라인
장소
문경문화예술회관
기간
2022-11-03~2022-11-03
문의처
문경문화예술회관 054-550-8393
자세히보기
예매 바로가기"
105,"음악/콘서트
공연/전시
유료
서울
전지훈 피아노 독주회
제공유형
오프라인
장소
예술의전당 IBK챔버홀
기간
2022-11-03~2022-11-03
문의처
예인예술기획 02-586-0945
자세히보기
예매 바로가기"
106,"음악/콘서트
공연/전시
유료
서울
아름다운 목요일, 금호아티스트: 브래넌 조 Cello 김태형 Piano (11.3)
제공유형
오프라인
장소
금호아트홀 연세
기간
2022-11-03~2022-11-03
문의처
금호문화재단 02-6303-1977
자세히보기
예매 바로가기"
107,"음악/콘서트
공연/전시
유료
서울
김수연 바이올린 독주회
제공유형
오프라인
장소
세종문화회관 체임버홀
기간
2022-11-03~2022-11-03
문의처
클래식포유 010-2768-7238
자세히보기
예매 바로가기"
108,"전시
공연/전시
무료
대구
SOUL-다섯가지 시선
제공유형
오프라인
장소
갤러리 봄(대구)
기간
2022-09-05~2022-11-04
문의처
01072848275
자세히보기"
109,"연구/자료
연구/자료
무료
2022 국립국어원 인공 지능 언어 능력 평가
제공유형
온라인
제공기관
문화체육관광부 국립국어원
기간
2022-10-04~2022-11-04
문의처
https://corpus.korean.go.kr/boards/noticeList.do
홈페이지 바로가기"
110,"교육/체험
교육/체험
유료
바이킹의 시대
제공유형
온라인
제공기관
서울대학교 평생교육원
기간
2022-10-14~2022-11-04
홈페이지 바로가기"
111,"연극
공연/전시
유료
위버멘쉬 2
제공유형
오프라인
장소
전포와일드클럽 (전포와일드클럽)
기간
2022-10-25~2022-11-04
문의처
010-5793-3253
자세히보기
예매 바로가기"
112,"뮤지컬/오페라
공연/전시
무료
전남
그해 그들은 [장흥]
제공유형
오프라인
장소
장흥문화예술회관
기간
2022-11-02~2022-11-04
문의처
장흥문화예술회관 061-860-5802
자세히보기
예매 바로가기"
113,"뮤지컬/오페라
공연/전시
유료
인천
무지개 물고기 [인천]
제공유형
오프라인
장소
인천문화예술회관
기간
2022-11-02~2022-11-04
문의처
엔엔터테인먼트 1588-2341
자세히보기
예매 바로가기"
114,"무용/발레
공연/전시
유료
충남
궁: 장녹수전 [서산]
제공유형
오프라인
장소
서산시문화회관
기간
2022-11-03~2022-11-04
문의처
서산시문화회관 041-661-8031
자세히보기
예매 바로가기"
115,"음악/콘서트
공연/전시
무료
대구
임윤영 바이올린 독주회
제공유형
오프라인
장소
달서아트센터
기간
2022-11-04~2022-11-04
문의처
010-5240-2513
자세히보기
예매 바로가기"
116,"국악
공연/전시
유료
부산
힐링콘서트, 양금앙상블-Friends
제공유형
오프라인
장소
을숙도문화회관
기간
2022-11-04~2022-11-04
문의처
을숙도문화회관 051-220-5811
자세히보기
예매 바로가기"
117,"연극
공연/전시
유료
일이구프로덕션 가을 제작 공연, 이방인 [천안]
제공유형
오프라인
장소
브루어스 (브루어스)
기간
2022-11-04~2022-11-04
문의처
일이구프로덕션 010-6496-8939
자세히보기
예매 바로가기"
118,"뮤지컬/오페라
공연/전시
무료
광주
GAME CANTATA [광주]
제공유형
오프라인
장소
광주북구문화센터
기간
2022-11-04~2022-11-04
문의처
010-6460-2621
자세히보기
예매 바로가기"
